time;ms;channel;data
14:37:04;642;801902;00 1D 20 11 EF BF BD 20 20 00 00 20 20 CE 9D 20 20 6B 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:04;645;801502;00 1D 20 39 EF BF BD 20 20 00 00 20 20 CA B0 20 20 3E 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:04;645;800402;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 27 EF BF BD 20 20 2D 20 20 20 20 20 20 20 20 20
14:37:04;648;801102;00 1D 20 7B EF BF BD 20 20 00 00 20 20 71 01 20 20 1D 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:04;708;800802;00 1D 20 7E EF BF BD 20 20 00 00 20 20 69 EF BF BD 20 20 10 20 20 20 20 20 20 20 20 20 20 20
14:37:04;714;800402;00 1D 20 C6 B4 20 20 00 00 20 20 76 EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:04;722;801802;00 1D 20 EF BF BD 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20
14:37:04;723;801902;00 1D 20 EF BF BD 57 20 20 00 00 20 20 EF BF BD 66 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:04;724;801502;00 1D 20 EF BF BD 20 20 00 00 20 20 EF BF BD 74 20 20 6C 20 20 20 20 20 20 20 20 20 20 20 20
14:37:04;725;801102;00 1D 20 21 EF BF BD 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 6D 20 20 20 20 20 20 20 20 20
14:37:04;771;800402;00 1D 20 53 6A 20 20 00 00 20 20 EF BF BD 39 20 20 70 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:04;773;800802;00 1D 20 3A 40 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 3B 20 20 20 20 20 20 20 20 20 20 20
14:37:04;773;801902;00 1D 20 31 68 20 20 00 00 20 20 1A EF BF BD 20 20 30 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:04;774;801502;00 1D 20 37 49 20 20 00 00 20 20 73 EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:04;783;801102;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 56 35 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
